Word,Synonyms
got,"get, acquire, become, go, let, have, receive, find, obtain, incur, arrive, come, bring, convey, fetch, experience, pay back, pay off, fix, make, induce, stimulate, cause, catch, capture, grow, develop, produce, contract, take, drive, aim, arrest, scram, buzz off, fuck off, bugger off, get under one's skin, draw, perplex, vex, stick, puzzle, mystify, baffle, beat, pose, bewilder, flummox, stupefy, nonplus, gravel, amaze, dumbfound, get down, begin, start out, start, set about, set out, commence, suffer, sustain, beget, engender, father, mother, sire, generate, bring forth"
thought,"idea, thought, thinking, thought process, cerebration, intellection, mentation, opinion, sentiment, persuasion, view, think, believe, consider, conceive, opine, suppose, imagine, reckon, guess, cogitate, cerebrate, remember, retrieve, recall, call back, call up, recollect, intend, mean"
live,"populate, dwell, live, inhabit, survive, last, live on, go, endure, hold up, hold out, exist, subsist, be, know, experience, unrecorded, alive, bouncy, lively, resilient, springy, hot"
big,"large, big, bad, prominent, heavy, boastful, braggart, bragging, braggy, cock-a-hoop, crowing, self-aggrandizing, self-aggrandising, swelled, vainglorious, adult, full-grown, fully grown, grown, grownup, magnanimous, bighearted, bounteous, bountiful, freehanded, handsome, giving, liberal, openhanded, enceinte, expectant, gravid, great, with child, boastfully, vauntingly"
involved,"involve, affect, regard, imply, necessitate, ask, postulate, need, require, take, call for, demand, involved, mired, Byzantine, convoluted, knotty, tangled, tortuous"
running,"run, running, running play, running game, track, scat, scarper, turn tail, lam, run away, hightail it, bunk, head for the hills, take to the woods, escape, fly the coop, break away, go, pass, lead, extend, operate, flow, feed, course, function, work, range, campaign, play, tend, be given, lean, incline, prevail, persist, die hard, endure, execute, carry, guide, draw, black market, bleed, run for, consort, ply, hunt, hunt down, track down, race, move, melt, melt down, ladder, unravel, linear, operative, functional, working"
bear,"bear, give birth, deliver, birth, have, digest, endure, stick out, stomach, stand, tolerate, support, brook, abide, suffer, put up, turn out, take over, accept, assume, hold, carry, contain, yield, pay, wear, behave, acquit, deport, conduct, comport, have a bun in the oven, gestate, expect"
den,"lair, den, hideout, hideaway"
wound,"wound, lesion, injury, combat injury, wounding, injure, hurt, bruise, offend, spite, weave, wind, thread, meander, wander, twist, curve, wrap, roll, twine, scent, nose, wind up, wreathe, hoist, lift"
ball,"ball, musket ball, globe, orb, testis, testicle, orchis, ballock, bollock, nut, egg, Ball, Lucille Ball, clod, glob, lump, clump, chunk, formal"
twine,"string, twine, intertwine, entwine, enlace, interlace, lace, wind, wrap, roll, twist, distort"
baseball,"baseball, baseball game"
new,"new, fresh, novel, raw, unexampled, newfangled, New, Modern, young, newly, freshly"
postmaster,postmaster
coming,"approach, approaching, coming, advent, orgasm, climax, sexual climax, come, come up, arrive, get, follow, issue forth, hail, fall, total, number, add up, amount, come in, occur, derive, descend, do, fare, make out, get along, forthcoming, upcoming"
town,"town, townspeople, townsfolk, township, Town, Ithiel Town"
grown,"turn, grow, mature, maturate, originate, arise, rise, develop, uprise, spring up, raise, farm, produce, get, acquire, adult, big, full-grown, fully grown, grown, grownup"
ups,up
kids,"child, kid, youngster, minor, shaver, nipper, small fry, tiddler, tike, tyke, fry, nestling, kidskin, Kyd, Kid, Thomas Kyd, Thomas Kid, pull the leg of, chaff, jolly, josh, banter"
supposed,"suppose, say, think, opine, imagine, reckon, guess, speculate, theorize, theorise, conjecture, hypothesize, hypothesise, hypothecate, presuppose, supposed, alleged, so-called, conjectural, divinatory, hypothetical, hypothetic, suppositional, suppositious, supposititious"
boy,"male child, boy, son"
store,"shop, store, stock, fund, memory, computer memory, storage, computer storage, memory board, storehouse, depot, entrepot, hive away, lay in, put in, salt away, stack away, stash away"
manages,"pull off, negociate, bring off, carry off, manage, deal, care, handle, cope, get by, make out, make do, contend, grapple, oversee, supervise, superintend, wangle, finagle, do, wield"
debts,debt
family,"family, household, house, home, menage, family unit, class, category, family line, folk, kinfolk, kinsfolk, sept, phratry, kin, kinsperson, syndicate, crime syndicate, mob, fellowship"
evenings,"evening, eve, even, eventide, flush, level, even out"
gathers,"gather, gathering, garner, collect, pull together, meet, assemble, forgather, foregather, accumulate, cumulate, conglomerate, pile up, amass, pucker, tuck, get together, gain"
came,"come, come up, arrive, get, follow, issue forth, hail, fall, total, number, add up, amount, come in, occur, derive, descend, do, fare, make out, get along"
evening,"evening, eve, even, eventide, flush, level, even out"
met,"meet, run into, encounter, run across, come across, see, get together, converge, satisfy, fill, fulfill, fulfil, fit, conform to, match, cope with, gather, assemble, forgather, foregather, play, take on, receive, suffer, touch, adjoin, contact"
lady,"lady, dame, madam, ma'am, gentlewoman, Lady, noblewoman, peeress"
meanest,"average, mean, hateful, base, meanspirited, beggarly, mingy, miserly, tight, bastardly"
train,"train, railroad train, string, caravan, wagon train, gearing, gear, geartrain, power train, develop, prepare, educate, discipline, check, condition, groom, school, cultivate, civilize, civilise, aim, take, take aim, direct, coach, rail, trail"
wait,"delay, hold, time lag, postponement, wait, waiting, hold off, hold back, expect, look, await, waitress"
children,"child, kid, youngster, minor, shaver, nipper, small fry, tiddler, tike, tyke, fry, nestling, baby"
day,"day, twenty-four hours, twenty-four hour period, 24-hour interval, solar day, mean solar day, daytime, daylight, sidereal day, Day, Clarence Day, Clarence Shepard Day Jr."
boys,"male child, boy, son"
spend,"spend, pass, expend, drop"
left,"left, left wing, left hand, left field, leftfield, leave, go forth, go away, leave alone, leave behind, exit, go out, get out, allow for, allow, provide, result, lead, depart, pull up stakes, entrust, bequeath, will, impart, give, pass on, forget, leftover, left over, odd, remaining, unexpended, left-hand"
worst,"worst, pip, mop up, whip, rack up, bad, big, tough, spoiled, spoilt, regretful, sorry, uncollectible, risky, high-risk, speculative, unfit, unsound, forged, defective"
chip,"bit, chip, flake, fleck, scrap, cow chip, cow dung, buffalo chip, crisp, potato chip, Saratoga chip, check, poker chip, microchip, micro chip, silicon chip, microprocessor chip, chip shot, chipping, splintering, chip off, come off, break away, break off, nick, knap, cut off"
best,"best, topper, Best, C. H. Best, Charles Herbert Best, outdo, outflank, trump, scoop, better, good, full, estimable, honorable, respectable, beneficial, just, upright, adept, expert, practiced, proficient, skillful, skilful, dear, near, dependable, safe, secure, right, ripe, well, effective, in effect, in force, serious, sound, salutary, honest, undecomposed, unspoiled, unspoilt, easily, considerably, substantially, intimately, advantageously, comfortably"
wrong,"wrong, wrongfulness, legal injury, damage, incorrect, improper, amiss, awry, haywire, ill-timed, unseasonable, untimely, faulty, incorrectly, wrongly"
friend,"friend, ally, acquaintance, supporter, protagonist, champion, admirer, booster, Friend, Quaker"
piece,"piece, part, musical composition, opus, composition, piece of music, bit, firearm, small-arm, slice, objet d'art, art object, while, spell, patch, man, assemble, put together, set up, tack, tack together, nibble, pick"
bad,"bad, badness, big, tough, spoiled, spoilt, regretful, sorry, uncollectible, risky, high-risk, speculative, unfit, unsound, forged, defective, badly"
luck,"fortune, destiny, fate, luck, lot, circumstances, portion, chance, hazard"
tried,"try, seek, attempt, essay, assay, test, prove, try out, examine, judge, adjudicate, sample, taste, hear, strain, stress, render, try on, tested, tried, well-tried, time-tested, tried and true"
steal,"bargain, buy, steal, slip"
hoop,"hoop, ring, wicket, basket, basketball hoop"
grandma,"grandma, grandmother, granny, grannie, gran, nan, nanna"
summer,"summer, summertime"
worked,"work, do work, act, function, operate, go, run, work on, process, exercise, work out, make, bring, play, wreak, make for, put to work, cultivate, crop, influence, act upon, shape, form, mold, mould, forge, knead, exploit, solve, figure out, puzzle out, lick, ferment, sour, turn"
men,"work force, workforce, manpower, hands, men, man, adult male, serviceman, military man, military personnel, homo, human being, human, valet, valet de chambre, gentleman, gentleman's gentleman, Man, Isle of Man, piece, world, human race, humanity, humankind, human beings, humans, mankind"
local,"local, local anesthetic, local anaesthetic, topical anesthetic, topical anaesthetic"
birthday,"birthday, natal day"
outhouse,"outhouse, privy, earth-closet, jakes"
falling,"fall, descend, go down, come down, come, precipitate, shine, strike, decrease, diminish, lessen, accrue, light, return, pass, devolve, fall down, hang, flow, settle, falling, dropping"
older,"aged, elderly, older, senior, elder, sr., old, erstwhile, former, onetime, one-time, quondam, sometime, honest-to-god, honest-to-goodness, sure-enough, Old, previous"
sat,"Saturday, Sabbatum, Sat, sit, sit down, sit around, model, pose, posture, ride, baby-sit, seat"
house,"house, firm, business firm, sign of the zodiac, star sign, sign, mansion, planetary house, family, household, home, menage, theater, theatre, put up, domiciliate"
course,"course, course of study, course of instruction, class, line, trend, course of action, path, track, form, grade, row, run, flow, feed, naturally, of course"
ran,"run, scat, scarper, turn tail, lam, run away, hightail it, bunk, head for the hills, take to the woods, escape, fly the coop, break away, go, pass, lead, extend, operate, flow, feed, course, function, work, range, campaign, play, tend, be given, lean, incline, prevail, persist, die hard, endure, execute, carry, guide, draw, black market, bleed, run for, consort, ply, hunt, hunt down, track down, race, move, melt, melt down, ladder, unravel"
stick,"stick, control stick, joystick, pin, peg, joint, marijuana cigarette, reefer, spliff, lodge, wedge, deposit, stay, stick around, stay put, adhere, hold fast, bond, bind, stick to, stand by, stick by, cling, cleave, cohere, sting, perplex, vex, get, puzzle, mystify, baffle, beat, pose, bewilder, flummox, stupefy, nonplus, gravel, amaze, dumbfound"
days,"days, years, day, twenty-four hours, twenty-four hour period, 24-hour interval, solar day, mean solar day, daytime, daylight, sidereal day, Day, Clarence Day, Clarence Shepard Day Jr."
roll,"axial rotation, axial motion, roll, roster, roller, rolling wave, coil, whorl, curl, curlicue, ringlet, gyre, scroll, bankroll, bun, peal, pealing, rolling, paradiddle, drum roll, cast, bowl, turn over, wheel, undulate, roll out, wind, wrap, twine, hustle, pluck, flap, wave, wander, swan, stray, tramp, roam, ramble, rove, range, drift, vagabond, revolve, seethe, roll up"
money,money
bought,"buy, purchase, bribe, corrupt, grease one's palms"
wind,"wind, air current, current of air, malarkey, malarky, idle words, jazz, nothingness, tip, lead, steer, confidential information, hint, wind instrument, fart, farting, flatus, breaking wind, winding, twist, weave, thread, meander, wander, curve, wrap, roll, twine, scent, nose, wind up, wreathe, hoist, lift"
careful,"careful, heedful, deliberate, measured, thrifty"
good,"good, goodness, commodity, trade good, full, estimable, honorable, respectable, beneficial, just, upright, adept, expert, practiced, proficient, skillful, skilful, dear, near, dependable, safe, secure, right, ripe, well, effective, in effect, in force, serious, sound, salutary, honest, undecomposed, unspoiled, unspoilt, thoroughly, soundly"
lazy,"lazy, faineant, indolent, otiose, slothful, work-shy"
gotten,"get, acquire, become, go, let, have, receive, find, obtain, incur, arrive, come, bring, convey, fetch, experience, pay back, pay off, fix, make, induce, stimulate, cause, catch, capture, grow, develop, produce, contract, take, drive, aim, arrest, scram, buzz off, fuck off, bugger off, get under one's skin, draw, perplex, vex, stick, puzzle, mystify, baffle, beat, pose, bewilder, flummox, stupefy, nonplus, gravel, amaze, dumbfound, get down, begin, start out, start, set about, set out, commence, suffer, sustain, beget, engender, father, mother, sire, generate, bring forth"
mail,"mail, mail service, postal service, post, chain mail, ring mail, chain armor, chain armour, ring armor, ring armour, get off, send"
beating,"beating, whipping, thrashing, licking, drubbing, lacing, trouncing, whacking, beat, beat out, crush, shell, trounce, vanquish, beat up, work over, pound, thump, drum, thrum, flap, scramble, bunk, tick, ticktock, ticktack, pulsate, quiver, outwit, overreach, outsmart, outfox, circumvent, perplex, vex, stick, get, puzzle, mystify, baffle, pose, bewilder, flummox, stupefy, nonplus, gravel, amaze, dumbfound, exhaust, wash up, tucker, tucker out"
pipe,"pipe, tobacco pipe, pipage, piping, tube, organ pipe, pipework, shriek, shrill, pipe up"
pay,"wage, pay, earnings, remuneration, salary, give, pay up, ante up, yield, bear, pay off, make up, compensate, devote"
refusing,"refuse, decline, reject, pass up, turn down, defy, resist, deny, turn away"
skipped,"jump, pass over, skip, skip over, cut, hop, hop-skip, decamp, vamoose, bound off, skim, skitter"
finally,"finally, eventually, ultimately, in the end, at last, at long last, last, lastly, in conclusion"
late,"late, belated, tardy, recent, later, former, previous, belatedly, tardily, deep, recently, lately, of late, latterly"
smoking,"smoke, smoking, fume"
usual,"usual, common"
rocker,"rocker, rock 'n' roll musician, rocking chair, cradle"
working,"working, workings, work, do work, act, function, operate, go, run, work on, process, exercise, work out, make, bring, play, wreak, make for, put to work, cultivate, crop, influence, act upon, shape, form, mold, mould, forge, knead, exploit, solve, figure out, puzzle out, lick, ferment, sour, turn, on the job, running, operative, functional"
houses,"house, firm, business firm, sign of the zodiac, star sign, sign, mansion, planetary house, family, household, home, menage, theater, theatre, put up, domiciliate"
block,"block, city block, cube, mental block, pulley, pulley-block, pulley block, engine block, cylinder block, blockage, closure, occlusion, stop, stoppage, auction block, blocking, barricade, blockade, block off, block up, bar, obstruct, hinder, stymie, stymy, embarrass, halt, kibosh, jam, stuff, lug, choke up, obturate, impede, occlude, close up, parry, deflect, forget, blank out, draw a blank, freeze, immobilize, immobilise"
city,"city, metropolis, urban center"
sneaking,"sneak, mouse, creep, pussyfoot, pilfer, cabbage, purloin, pinch, abstract, snarf, swipe, hook, filch, nobble, lift, slip, sneaking, unavowed"
approve,"approve, O.K., okay, sanction"
row,"row, quarrel, wrangle, words, run-in, dustup, course, rowing"
bunch,"bunch, clump, cluster, clustering, crowd, crew, gang, lot, caboodle, bunch together, bunch up, bundle"
mounds,"mound, hill, pitcher's mound, knoll, hillock, hummock, hammock, pile, heap, agglomerate, cumulation, cumulus, pitcher"
hideout,"hideout, hideaway, den"
secret,"secret, arcanum, mystery, enigma, closed book, clandestine, cloak-and-dagger, hole-and-corner, hugger-mugger, hush-hush, surreptitious, undercover, underground, unavowed, private, hidden, privy, secluded, confidential, mysterious, mystic, mystical, occult, orphic"
places,"topographic point, place, spot, property, stead, position, lieu, shoes, home, post, berth, office, billet, situation, station, seat, plaza, piazza, space, blank space, put, set, pose, lay, rate, rank, range, order, grade, locate, site, come in, come out, target, aim, direct, point, identify, localize, localise, invest, commit, send"
church,"church, Christian church, church building, church service"
play,"play, drama, dramatic play, maneuver, manoeuvre, bid, child's play, playing period, period of play, free rein, shimmer, fun, sport, looseness, frolic, romp, gambol, caper, turn, gambling, gaming, swordplay, act, represent, spiel, act as, recreate, toy, run, fiddle, diddle, dally, trifle, flirt, roleplay, playact, bring, work, wreak, make for, bet, wager, meet, encounter, take on"
organ,"organ, electric organ, electronic organ, Hammond organ, pipe organ, harmonium, reed organ"
told,"state, say, tell, narrate, recount, recite, order, enjoin, assure, evidence, distinguish, separate, differentiate, secern, secernate, severalize, severalise, tell apart"
museums,museum
visited,"visit, see, travel to, call in, call, inspect, inflict, bring down, impose, chew the fat, shoot the breeze, chat, confabulate, confab, chitchat, chit-chat, chatter, chaffer, natter, gossip, jaw, claver"
set,"set, exercise set, stage set, circle, band, lot, bent, hardening, solidifying, solidification, curing, Set, Seth, readiness, put, place, pose, position, lay, determine, specify, define, fix, limit, mark, prepare, set up, ready, gear up, localize, localise, go down, go under, arrange, plant, jell, congeal, typeset, countersink, sic, rig, lay out, adjust, correct, fructify, dress, do, coif, coiffe, coiffure, fit, primed, fixed, rigid, located, placed, situated, laid, determined, dictated, hardened"
paints,"paint, pigment, key, rouge, blusher"
clumps,"bunch, clump, cluster, clustering, ball, clod, glob, lump, chunk, thump, thumping, clunk, thud, clop, plunk, constellate, flock, clomp, bunch up, bundle"
slow,"decelerate, slow, slow down, slow up, retard, slack, slacken, dense, dim, dull, dumb, obtuse, boring, deadening, ho-hum, irksome, tedious, tiresome, wearisome, sluggish, slowly, easy, tardily, behind"
fall,"fall, autumn, spill, tumble, Fall, descent, declivity, decline, declination, declension, downslope, downfall, capitulation, surrender, twilight, dusk, gloaming, gloam, nightfall, evenfall, crepuscule, crepuscle, pin, drop, dip, free fall, descend, go down, come down, come, precipitate, shine, strike, decrease, diminish, lessen, accrue, light, return, pass, devolve, fall down, hang, flow, settle"
decided,"decide, make up one's mind, determine, settle, resolve, adjudicate, distinct, decided"
staring,"gaze, stare, star, asterisk, agaze, staring, arrant, complete, consummate, double-dyed, everlasting, gross, perfect, pure, sodding, stark, thoroughgoing, utter, unadulterated"
ground,"land, dry land, earth, ground, solid ground, terra firma, reason, footing, basis, background, soil, flat coat, primer, priming, primer coat, priming coat, undercoat, anchor, strand, run aground, prime, establish, base, found, crunch, cranch, craunch, grind, grate, labor, labour, toil, fag, travail, drudge, dig, moil, mash, bray, comminute"
shovel,"shovel, shovelful, spadeful, power shovel, excavator, digger"
girl,"girl, miss, missy, young lady, young woman, fille, female child, little girl, daughter, girlfriend, lady friend"
sure,"certain, sure, trusted, indisputable, surely, certainly, for sure, for certain, sure enough, sure as shooting"
cave,"cave, undermine, spelunk"
build,"physique, build, body-build, habitus, human body, physical body, material body, soma, figure, anatomy, shape, bod, chassis, frame, form, flesh, construct, make, build up, work up, progress, establish, ramp up"
songs,"song, vocal, strain, birdcall, call, birdsong, Sung, Sung dynasty, Song, Song dynasty"
book,"book, volume, record, record book, script, playscript, ledger, leger, account book, book of account, rule book, Koran, Quran, al-Qur'an, Book, Bible, Christian Bible, Good Book, Holy Scripture, Holy Writ, Scripture, Word of God, Word, reserve, hold"
dig,"dig, excavation, archeological site, shot, shaft, slam, barb, jibe, gibe, digging, jab, delve, cut into, turn over, dig out, labor, labour, toil, fag, travail, grind, drudge, moil, dig up, excavate, hollow, prod, stab, poke, grok, get the picture, comprehend, savvy, grasp, compass, apprehend"
bulge,"bulge, bump, hump, swelling, gibbosity, gibbousness, jut, prominence, protuberance, protrusion, extrusion, excrescence, pouch, protrude, bag, start, pop, pop out, bulge out, bug out, come out, bulk"
huge,"huge, immense, vast, Brobdingnagian"
mound,"mound, hill, pitcher's mound, knoll, hillock, hummock, hammock, pile, heap, agglomerate, cumulation, cumulus, pitcher"
spread,"spread, spreading, gap, ranch, cattle ranch, cattle farm, scatter, paste, banquet, feast, spread head, spreadhead, facing pages, bedspread, bedcover, bed cover, bed covering, counterpane, distribute, propagate, overspread, unfold, spread out, open, circulate, circularize, circularise, disseminate, broadcast, diffuse, disperse, pass around, go around, fan out, dispersed, outspread"
showed,"show, demo, exhibit, present, demonstrate, prove, establish, shew, testify, bear witness, evidence, picture, depict, render, express, evince, indicate, point, designate, show up, read, register, record, usher"
artist,"artist, creative person"
piano,"piano, pianoforte, forte-piano, pianissimo, soft, softly"
lessons,"lesson, example, deterrent example, object lesson, moral"
school,"school, schoolhouse, schooling, schooltime, school day, shoal, educate, train, cultivate, civilize, civilise"
hand,"hand, manus, mitt, paw, hired hand, hired man, handwriting, script, deal, bridge player, helping hand, pass, reach, pass on, turn over, give"
dirt,"soil, dirt, filth, grime, stain, grease, grunge, crap, shit, shite, poop, turd, scandal, malicious gossip, ungraded"
looking,"look, looking, looking at, looking for, appear, seem, search, front, face, attend, take care, see, expect, await, wait, count, bet, depend, calculate, reckon, sounding"
far,"Army for the Liberation of Rwanda, ALIR, Former Armed Forces, FAR, Interahamwe, far"
away,"away, outside, off, forth, out, aside, by"
pointed,"indicate, point, designate, show, orient, charge, level, steer, maneuver, manoeuver, manoeuvre, direct, head, guide, channelize, channelise, bespeak, betoken, signal, luff, target, aim, place, sharpen, taper, repoint, pointed"
war,"war, warfare, state of war"
pace,"pace, gait, footstep, step, stride, rate, tread, tempo, yard"
aid,"aid, assistance, help, assist, economic aid, financial aid, care, attention, tending"
enemy,"enemy, foe, foeman, opposition"
grass,"grass, Grass, Gunter Grass, Gunter Wilhelm Grass, supergrass, eatage, forage, pasture, pasturage, pot, green goddess, dope, weed, gage, sess, sens, smoke, skunk, locoweed, Mary Jane, grass over, denounce, tell on, betray, give away, rat, shit, shop, snitch, stag"
playing,"playing, acting, playacting, performing, play, act, represent, spiel, act as, recreate, toy, run, fiddle, diddle, dally, trifle, flirt, roleplay, playact, bring, work, wreak, make for, bet, wager, meet, encounter, take on"
minutes,"minutes, proceedings, transactions, minute, min, moment, mo, second, bit, instant, arcminute, minute of arc, hour"
started,"get down, begin, get, start out, start, set about, set out, commence, lead off, depart, part, set forth, set off, take off, originate, initiate, start up, embark on, startle, jump, go, get going, take up, protrude, pop, pop out, bulge, bulge out, bug out, come out"
complaining,"complain, kick, plain, sound off, quetch, kvetch, complaining, complaintive"
hour,"hour, hr, 60 minutes, time of day, minute"
covered,"cover, spread over, continue, extend, treat, handle, plow, deal, address, embrace, encompass, comprehend, traverse, track, cross, pass over, get over, get across, cut through, cut across, report, cover up, insure, underwrite, compensate, overcompensate, shroud, enshroud, hide, breed, overlay, brood, hatch, incubate, wrap up, covered"
lie,"lie, prevarication, Lie, Trygve Lie, Trygve Halvden Lie, dwell, consist, lie in, rest, lie down"
tall,"tall, grandiloquent, magniloquent, improbable, marvelous, marvellous"
music,"music, euphony, medicine"
rest,"remainder, balance, residual, residue, residuum, rest, ease, repose, relaxation, respite, relief, rest period, eternal rest, sleep, eternal sleep, quietus, breathe, catch one's breath, take a breather, lie, stay, remain, reside, perch, roost, pillow"
quietly,"softly, quietly, quiet, restfully"
yeah,"yea, yeah"
shrugged,shrug
kind,"kind, sort, form, variety, genial, tolerant"
bathed,"bathe, bath"
daddy,"dad, dada, daddy, pa, papa, pappa, pop"
hi,"hello, hullo, hi, howdy, how-do-you-do, Hawaii, Hawai'i, Aloha State, HI"
office,"office, business office, agency, federal agency, government agency, bureau, authority, function, part, role, power, office staff, position, post, berth, spot, billet, place, situation"
post,"post, station, military post, position, berth, office, spot, billet, place, situation, Post, Wiley Post, Emily Post, Emily Price Post, C. W. Post, Charles William Post, mail, stake, mail service, postal service, send, carry, put up, brand"
stop,"stop, halt, stoppage, stopover, layover, arrest, check, hitch, stay, stop consonant, occlusive, plosive consonant, plosive speech sound, plosive, period, point, full stop, full point, diaphragm, catch, blockage, block, closure, occlusion, discontinue, cease, give up, quit, lay off, kibosh, stop over, break, break off, turn back, contain, hold back, intercept, end, finish, terminate, barricade, blockade, block off, block up, bar, hold on"
beer,beer
mumbled,"mumble, mutter, maunder, mussitate, gum"
suggested,"propose, suggest, advise, hint, intimate, indicate, evoke, paint a picture"
man,"man, adult male, serviceman, military man, military personnel, homo, human being, human, valet, valet de chambre, gentleman, gentleman's gentleman, Man, Isle of Man, piece, world, human race, humanity, humankind, human beings, humans, mankind"
turned,"turn, change state, become, change by reversal, reverse, move around, grow, release, turn over, plow, plough, twist, sprain, wrench, wrick, rick, flex, bend, deform, call on, sour, ferment, work, turned, off"
way,"manner, mode, style, way, fashion, means, agency, direction, path, way of life, room, elbow room, right smart"
gave,"give, yield, afford, pay, hold, throw, have, make, gift, present, devote, render, return, generate, impart, leave, pass on, establish, sacrifice, pass, hand, reach, turn over, dedicate, consecrate, commit, apply, grant, move over, give way, ease up, feed, contribute, chip in, kick in, collapse, fall in, cave in, break, founder, open"
home,"home, place, dwelling, domicile, abode, habitation, dwelling house, home plate, home base, plate, base, family, household, house, menage, nursing home, rest home, interior, internal, national"
tack,"tack, stable gear, saddlery, sheet, mainsheet, weather sheet, shroud, tacking, wear round, assemble, piece, put together, set up, tack together, baste, append, tag on, tack on, hang on, interchange, switch, alternate, flip, flip-flop"
hard,"difficult, hard, knockout, severe, arduous, backbreaking, grueling, gruelling, heavy, laborious, operose, punishing, toilsome, unvoiced, voiceless, surd, concentrated, intemperate, strong, tough, firmly, severely, heavily, intemperately"
